x,y,diameter,time
46,140,26,10
378,92,28,10
520,368,28,10
82,442,22,10
246,262,22,10
222,150,28,10
458,404,26,10
48,424,20,10
542,144,28,10
174,470,20,10
192,372,20,10
486,274,20,10
148,354,28,10
586,102,24,10
340,66,22,10
68,234,28,10
252,70,28,10
46,386,26,10
94,188,26,10
98,230,24,10
276,82,22,10
128,434,18,10
192,418,26,10
562,190,26,10
516,206,24,10
230,122,22,10
44,446,22,10
262,308,20,10
334,328,18,10
96,96,28,10
228,480,28,10
310,184,28,10
576,30,28,10
564,310,26,10
310,410,26,10
28,190,24,10
348,102,22,10
152,404,20,10
166,430,20,10
168,172,20,10
102,398,18,10
382,410,28,10
408,150,28,10
130,232,26,10
232,222,26,10
344,472,24,10
610,474,24,10
38,224,20,10
470,282,20,10
176,320,28,10
526,108,26,10
600,376,26,10
458,250,26,10
30,230,24,10
92,160,22,10
614,170,20,10
16,386,18,10
160,38,26,10
594,444,24,10
162,280,22,10
104,126,20,10
656,104,20,10
16,468,28,10
148,470,28,10
72,284,22,10
250,454,22,10
216,346,20,10
4,210,28,10
42,326,28,10
254,400,28,10
476,366,22,10
124,462,22,10
178,30,20,10
282,76,20,10
580,184,20,10
250,164,18,10
468,434,18,10
120,270,28,10
608,302,28,10
290,454,26,10
604,438,20,10
36,110,20,10
164,258,20,10
270,412,26,10
308,304,22,10
642,188,20,10
242,370,18,10
268,478,18,10
482,358,28,10
274,190,24,10
42,106,22,10
458,440,22,10
16,422,20,10
108,392,20,10
244,74,18,10
38,316,26,10
578,474,24,10
132,130,24,10
324,288,22,10
100,280,20,10
256,314,20,10
134,406,20,10
96,370,18,10
336,474,28,10
22,308,24,10
28,460,22,10
280,428,22,10
106,366,20,10
222,388,20,10
98,432,20,10
102,492,20,10
450,410,18,10
16,260,18,10
52,482,18,10
294,474,26,10
46,342,20,10
134,88,20,10
6,286,20,10
184,376,18,10
146,340,18,10
268,186,26,10
30,438,22,10
594,384,22,10
78,492,20,10
138,70,20,10
618,304,20,10
324,296,18,10
116,434,18,10
226,378,18,10
218,102,22,10
300,468,22,10
318,180,20,10
288,358,18,10
268,436,20,10
604,460,20,10
336,370,26,10
