x,y,diameter,time
628,340,26,25
234,106,28,25
54,180,28,25
544,410,26,25
480,196,26,25
356,208,24,25
106,170,24,25
416,220,24,25
50,68,28,25
284,80,28,25
452,232,26,25
316,302,24,25
490,340,28,25
156,202,28,25
338,342,28,25
244,322,26,25
492,384,26,25
174,392,22,25
610,104,20,25
414,450,20,25
100,430,28,25
206,398,26,25
54,316,22,25
148,400,20,25
92,246,20,25
352,304,20,25
106,306,28,25
488,34,28,25
438,290,26,25
372,440,24,25
330,60,20,25
478,140,20,25
616,290,20,25
634,282,20,25
46,128,26,25
274,308,24,25
224,26,22,25
582,14,20,25
252,216,26,25
390,4,22,25
172,298,18,25
576,46,18,25
476,282,26,25
606,170,26,25
636,374,26,25
8,162,24,25
584,254,24,25
186,232,24,25
266,434,20,25
96,218,20,25
258,358,20,25
268,390,20,25
440,102,20,25
240,234,28,25
144,356,26,25
314,126,26,25
574,122,26,25
392,384,20,25
128,228,20,25
346,426,20,25
48,418,28,25
18,452,28,25
134,388,26,25
76,30,26,25
18,62,24,25
66,358,24,25
374,98,24,25
644,436,24,25
252,256,24,25
154,430,22,25
284,160,22,25
40,4,20,25
80,306,20,25
404,418,20,25
24,396,18,25
284,460,18,25
384,390,18,25
8,214,22,25
146,156,20,25
218,358,20,25
482,258,20,25
96,472,18,25
226,450,28,25
220,490,26,25
146,462,26,25
12,258,22,25
232,414,22,25
48,284,20,25
12,336,20,25
182,422,20,25
250,364,20,25
598,50,18,25
624,44,18,25
286,426,18,25
312,416,26,25
310,484,20,25
14,114,20,25
6,290,18,25
314,446,18,25
468,228,18,25
100,376,18,25
372,118,16,25
434,374,28,25
184,348,26,25
206,458,24,25
426,408,22,25
128,164,20,25
636,340,20,25
282,302,18,25
66,34,28,25
592,324,26,25
322,250,20,25
38,432,20,25
40,388,18,25
638,172,18,25
350,418,26,25
28,198,22,25
88,222,22,25
64,58,20,25
656,50,20,25
234,22,18,25
598,30,20,25
264,490,20,25
562,16,20,25
224,418,18,25
56,442,18,25
454,96,18,25
406,396,26,25
124,456,20,25
46,450,20,25
48,204,20,25
102,406,18,25
618,34,26,25
256,250,24,25
90,412,20,25
416,144,20,25
364,184,18,25
342,242,22,25
118,358,20,25
350,492,18,25
364,146,18,25
208,362,20,25
212,438,18,25
380,344,18,25
526,102,18,25
168,4,16,25
606,492,22,25
34,456,20,25
304,488,20,25
120,232,20,25
428,156,20,25
276,384,20,25
354,164,18,25
30,362,16,25
20,316,18,25
536,474,18,25
112,298,18,25
130,82,18,25
246,224,22,25
16,4,20,25
636,154,20,25
208,2,16,25
